buying,maint,doors,persons,lug_boot,safety,Cars24_rating,class
vhigh,vhigh,2,2,small,low,poor,unacc
vhigh,vhigh,2,2,small,med,poor,unacc
vhigh,vhigh,2,2,small,high,poor,unacc
vhigh,vhigh,2,2,med,low,poor,unacc
vhigh,vhigh,2,2,med,med,poor,unacc
vhigh,vhigh,2,2,med,high,poor,unacc
vhigh,vhigh,2,2,big,low,poor,unacc
vhigh,vhigh,2,2,big,med,poor,unacc
vhigh,vhigh,2,2,big,high,poor,unacc
vhigh,vhigh,2,4,small,low,poor,unacc
vhigh,vhigh,2,4,small,med,poor,unacc
vhigh,vhigh,2,4,small,high,poor,unacc
vhigh,vhigh,2,4,med,low,poor,unacc
vhigh,vhigh,2,4,med,med,poor,unacc
vhigh,vhigh,2,4,med,high,poor,unacc
vhigh,vhigh,2,4,big,low,poor,unacc
vhigh,vhigh,2,4,big,med,poor,unacc
vhigh,vhigh,2,4,big,high,poor,unacc
vhigh,vhigh,2,more,small,low,poor,unacc
vhigh,vhigh,2,more,small,med,poor,unacc
vhigh,vhigh,2,more,small,high,poor,unacc
vhigh,vhigh,2,more,med,low,poor,unacc
vhigh,vhigh,2,more,med,med,poor,unacc
vhigh,vhigh,2,more,med,high,poor,unacc
vhigh,vhigh,2,more,big,low,poor,unacc
vhigh,vhigh,2,more,big,med,poor,unacc
vhigh,vhigh,2,more,big,high,poor,unacc
vhigh,vhigh,3,2,small,low,poor,unacc
vhigh,vhigh,3,2,small,med,poor,unacc
vhigh,vhigh,3,2,small,high,poor,unacc
vhigh,vhigh,3,2,med,low,poor,unacc
vhigh,vhigh,3,2,med,med,poor,unacc
vhigh,vhigh,3,2,med,high,poor,unacc
vhigh,vhigh,3,2,big,low,poor,unacc
vhigh,vhigh,3,2,big,med,poor,unacc
vhigh,vhigh,3,2,big,high,poor,unacc
vhigh,vhigh,3,4,small,low,poor,unacc
vhigh,vhigh,3,4,small,med,poor,unacc
vhigh,vhigh,3,4,small,high,poor,unacc
vhigh,vhigh,3,4,med,low,poor,unacc
vhigh,vhigh,3,4,med,med,poor,unacc
vhigh,vhigh,3,4,med,high,poor,unacc
vhigh,vhigh,3,4,big,low,poor,unacc
vhigh,vhigh,3,4,big,med,poor,unacc
vhigh,vhigh,3,4,big,high,poor,unacc
vhigh,vhigh,3,more,small,low,poor,unacc
vhigh,vhigh,3,more,small,med,poor,unacc
vhigh,vhigh,3,more,small,high,poor,unacc
vhigh,vhigh,3,more,med,low,poor,unacc
vhigh,vhigh,3,more,med,med,poor,unacc
vhigh,vhigh,3,more,med,high,poor,unacc
vhigh,vhigh,3,more,big,low,poor,unacc
vhigh,vhigh,3,more,big,med,poor,unacc
vhigh,vhigh,3,more,big,high,poor,unacc
vhigh,vhigh,4,2,small,low,poor,unacc
vhigh,vhigh,4,2,small,med,poor,unacc
vhigh,vhigh,4,2,small,high,poor,unacc
vhigh,vhigh,4,2,med,low,poor,unacc
vhigh,vhigh,4,2,med,med,poor,unacc
vhigh,vhigh,4,2,med,high,poor,unacc
vhigh,vhigh,4,2,big,low,poor,unacc
vhigh,vhigh,4,2,big,med,poor,unacc
vhigh,vhigh,4,2,big,high,poor,unacc
vhigh,vhigh,4,4,small,low,poor,unacc
vhigh,vhigh,4,4,small,med,poor,unacc
vhigh,vhigh,4,4,small,high,poor,unacc
vhigh,vhigh,4,4,med,low,poor,unacc
vhigh,vhigh,4,4,med,med,poor,unacc
vhigh,vhigh,4,4,med,high,poor,unacc
vhigh,vhigh,4,4,big,low,poor,unacc
vhigh,vhigh,4,4,big,med,poor,unacc
vhigh,vhigh,4,4,big,high,poor,unacc
vhigh,vhigh,4,more,small,low,poor,unacc
vhigh,vhigh,4,more,small,med,poor,unacc
vhigh,vhigh,4,more,small,high,poor,unacc
vhigh,vhigh,4,more,med,low,poor,unacc
vhigh,vhigh,4,more,med,med,poor,unacc
vhigh,vhigh,4,more,med,high,poor,unacc
vhigh,vhigh,4,more,big,low,poor,unacc
vhigh,vhigh,4,more,big,med,poor,unacc
vhigh,vhigh,4,more,big,high,poor,unacc
vhigh,vhigh,5more,2,small,low,poor,unacc
vhigh,vhigh,5more,2,small,med,poor,unacc
vhigh,vhigh,5more,2,small,high,poor,unacc
vhigh,vhigh,5more,2,med,low,poor,unacc
vhigh,vhigh,5more,2,med,med,poor,unacc
vhigh,vhigh,5more,2,med,high,poor,unacc
vhigh,vhigh,5more,2,big,low,poor,unacc
vhigh,vhigh,5more,2,big,med,poor,unacc
vhigh,vhigh,5more,2,big,high,poor,unacc
vhigh,vhigh,5more,4,small,low,poor,unacc
vhigh,vhigh,5more,4,small,med,poor,unacc
vhigh,vhigh,5more,4,small,high,poor,unacc
vhigh,vhigh,5more,4,med,low,poor,unacc
vhigh,vhigh,5more,4,med,med,poor,unacc
vhigh,vhigh,5more,4,med,high,poor,unacc
vhigh,vhigh,5more,4,big,low,poor,unacc
vhigh,vhigh,5more,4,big,med,poor,unacc
vhigh,vhigh,5more,4,big,high,poor,unacc
vhigh,vhigh,5more,more,small,low,poor,unacc
vhigh,vhigh,5more,more,small,med,poor,unacc
vhigh,vhigh,5more,more,small,high,poor,unacc
vhigh,vhigh,5more,more,med,low,poor,unacc
vhigh,vhigh,5more,more,med,med,poor,unacc
vhigh,vhigh,5more,more,med,high,poor,unacc
vhigh,vhigh,5more,more,big,low,poor,unacc
vhigh,vhigh,5more,more,big,med,poor,unacc
vhigh,vhigh,5more,more,big,high,poor,unacc
vhigh,high,2,2,small,low,poor,unacc
vhigh,high,2,2,small,med,poor,unacc
vhigh,high,2,2,small,high,poor,unacc
vhigh,high,2,2,med,low,poor,unacc
vhigh,high,2,2,med,med,poor,unacc
vhigh,high,2,2,med,high,poor,unacc
vhigh,high,2,2,big,low,poor,unacc
vhigh,high,2,2,big,med,poor,unacc
vhigh,high,2,2,big,high,poor,unacc
vhigh,high,2,4,small,low,poor,unacc
vhigh,high,2,4,small,med,poor,unacc
vhigh,high,2,4,small,high,poor,unacc
vhigh,high,2,4,med,low,poor,unacc
vhigh,high,2,4,med,med,poor,unacc
vhigh,high,2,4,med,high,poor,unacc
vhigh,high,2,4,big,low,poor,unacc
vhigh,high,2,4,big,med,poor,unacc
vhigh,high,2,4,big,high,poor,unacc
vhigh,high,2,more,small,low,poor,unacc
vhigh,high,2,more,small,med,poor,unacc
vhigh,high,2,more,small,high,poor,unacc
vhigh,high,2,more,med,low,poor,unacc
vhigh,high,2,more,med,med,poor,unacc
vhigh,high,2,more,med,high,poor,unacc
vhigh,high,2,more,big,low,poor,unacc
vhigh,high,2,more,big,med,poor,unacc
vhigh,high,2,more,big,high,poor,unacc
vhigh,high,3,2,small,low,poor,unacc
vhigh,high,3,2,small,med,poor,unacc
vhigh,high,3,2,small,high,poor,unacc
vhigh,high,3,2,med,low,poor,unacc
vhigh,high,3,2,med,med,poor,unacc
vhigh,high,3,2,med,high,poor,unacc
vhigh,high,3,2,big,low,poor,unacc
vhigh,high,3,2,big,med,poor,unacc
vhigh,high,3,2,big,high,poor,unacc
vhigh,high,3,4,small,low,poor,unacc
vhigh,high,3,4,small,med,poor,unacc
vhigh,high,3,4,small,high,poor,unacc
vhigh,high,3,4,med,low,poor,unacc
vhigh,high,3,4,med,med,poor,unacc
vhigh,high,3,4,med,high,poor,unacc
vhigh,high,3,4,big,low,poor,unacc
vhigh,high,3,4,big,med,poor,unacc
vhigh,high,3,4,big,high,poor,unacc
vhigh,high,3,more,small,low,poor,unacc
vhigh,high,3,more,small,med,poor,unacc
vhigh,high,3,more,small,high,poor,unacc
vhigh,high,3,more,med,low,poor,unacc
vhigh,high,3,more,med,med,poor,unacc
vhigh,high,3,more,med,high,poor,unacc
vhigh,high,3,more,big,low,poor,unacc
vhigh,high,3,more,big,med,poor,unacc
vhigh,high,3,more,big,high,poor,unacc
vhigh,high,4,2,small,low,poor,unacc
vhigh,high,4,2,small,med,poor,unacc
vhigh,high,4,2,small,high,poor,unacc
vhigh,high,4,2,med,low,poor,unacc
vhigh,high,4,2,med,med,poor,unacc
vhigh,high,4,2,med,high,poor,unacc
vhigh,high,4,2,big,low,poor,unacc
vhigh,high,4,2,big,med,poor,unacc
vhigh,high,4,2,big,high,poor,unacc
vhigh,high,4,4,small,low,poor,unacc
vhigh,high,4,4,small,med,poor,unacc
vhigh,high,4,4,small,high,poor,unacc
vhigh,high,4,4,med,low,poor,unacc
vhigh,high,4,4,med,med,poor,unacc
vhigh,high,4,4,med,high,poor,unacc
